Nucleotide,Replicate,Time,Mature_RISC,Pre_RISC
A,1,0,0.071222919,0.296335564
A,1,15,0.118231068,0.713809969
A,1,30,0.319451544,0.584137128
A,1,60,0.739629393,0.423464754
A,1,90,0.904555885,0.352988706
A,1,120,0.797391953,0.303016648
U,1,0,0.136318869,0.415131106
U,1,15,0.148595372,0.79175759
U,1,30,0.356178174,0.640937622
U,1,60,0.719342907,0.450741416
U,1,90,0.774098434,0.341737506
U,1,120,0.929616408,0.364899419
A6,1,0,0.102538395,0.361515148
A6,1,15,0.277276264,0.771917579
A6,1,30,0.651523722,0.567841191
A6,1,60,1.024814995,0.367578911
A6,1,90,1.087418463,0.32053574
A6,1,120,1,0.32443497
G,1,0,0,0.243362355
G,1,15,0.086465262,0.916696531
G,1,30,0.208402444,0.645827281
G,1,60,0.485164837,0.402294092
G,1,90,0.631615696,0.363332287
G,1,120,0.619350119,0.397918733
A,2,0,0.029076093,0.160522998
A,2,15,0.184245549,0.70126794
A,2,30,0.409679054,0.614308666
A,2,60,0.808200726,0.420908111
A,2,90,1.017894839,0.358457208
A,2,120,1.08286091,0.360915966
U,2,0,0.18343596,0.387382129
U,2,15,0.214391693,0.796275233
U,2,30,0.384926793,0.632173567
U,2,60,0.751108168,0.439868824
U,2,90,0.953661011,0.404671485
U,2,120,0.933579915,0.394703562
A6,2,0,0.148433449,0.395210506
A6,2,15,0.315379938,0.788632974
A6,2,30,0.554635517,0.612941146
A6,2,60,1.074017435,0.393893442
A6,2,90,1.095944509,0.379603035
A6,2,120,1,0.353135197
G,2,0,0,0.214928227
G,2,15,0.094269765,0.759292706
G,2,30,0.229995161,0.577917391
G,2,60,0.49655648,0.40075095
G,2,90,0.772114096,0.415784396
G,2,120,0.731476205,0.424436818
A,3,0,0.12683409,0.256477262
A,3,15,0.220067862,0.566121466
A,3,30,0.400883821,0.518528844
A,3,60,0.678060699,0.422143402
A,3,90,0.839028989,0.409630543
A,3,120,0.816191418,0.409742989
U,3,0,0.19259812,0.340711077
U,3,15,0.252500852,0.679107781
U,3,30,0.37425821,0.543206073
U,3,60,0.676729975,0.443035273
U,3,90,0.787798021,0.41340941
U,3,120,0.779764918,0.374176495
A6,3,0,0.147058435,0.343622891
A6,3,15,0.336750095,0.648243926
A6,3,30,0.633227752,0.52056442
A6,3,60,0.946817565,0.403289352
A6,3,90,1.024136562,0.40088593
A6,3,120,1,0.370964615
G,3,0,0.104535356,0.269840619
G,3,15,0.157746363,0.674913815
G,3,30,0.277331816,0.533342731
G,3,60,0.539389962,0.414496866
G,3,90,0.670882924,0.39134539
G,3,120,0.656974667,0.446582847
